id;CLM_FREQ; CLM_AMT_1 ; CLM_AMT_2 ; CLM_AMT_3 ; CLM_AMT_4 ; CLM_AMT_5 ; CLM_AMT_6 ;CAR_USE;CAR_TYPE;AGE;GENDER;AREA;PREMIUM
1;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;60;M;Urban; 1 496 
2;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;43;M;Urban; 1 319 
3;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Van;48;M;Urban; 1 079 
4;4; 730 ; 648 ; 657 ; 760 ; -   ; -   ;Private;SUV;35;F;Urban; 1 119 
5;2; 681 ; 737 ; -   ; -   ; -   ; -   ;Private;Sedan;51;M;Urban; 1 012 
6;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;50;F;Urban; 1 428 
7;2; 691 ; 729 ; -   ; -   ; -   ; -   ;Commercial;Sports Car;34;F;Urban; 1 337 
8;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;54;F;Urban; 1 109 
9;1; 768 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;40;M;Urban; 1 282 
10;1;-500 ; -   ; -   ; -   ; -   ; -   ;Commercial;Van; 60 ;M;Urban; 1 200 
11;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;37;M;Urban; 1 499 
12;2; 50 000 ;-10 ; -   ; -   ; -   ; -   ;Private;Panel Truck; 32 ;M;Urban; 1 460 
13;2; 620 ; 680 ; -   ; -   ; -   ; -   ;Commercial;Van;50;M;Rural; 1 300 
14;2; 725 ; 680 ; -   ; -   ; -   ; -   ;Private;Sports Car;53;F;Urban; 1 107 
15;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;43;F;Rural; 1 131 
16;3; 746 ; 696 ; 598 ; -   ; -   ; -   ;Commercial;Van;55;M;Urban; 1 201 
17;1; 723 ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;53;M;Urban; 1 457 
18;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;35;M;Rural; 1 472 
19;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;45;F;Urban; 1 091 
20;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;39;F;Rural; 1 177 
21;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;59;M;Urban; 1 280 
22;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;42;M;Urban; 1 122 
23;2; 717 ; 716 ; -   ; -   ; -   ; -   ;Private;SUV;34;F;Urban; 1 250 
24;2; 669 ; 767 ; -   ; -   ; -   ; -   ;Private;Sedan;31;F;Urban; 1 126 
25;1; 637 ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;28;F;Urban; 1 082 
26;2; 712 ; 693 ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;43;M;Urban; 1 298 
27;1; 590 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;48;F;Urban; 1 005 
28;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;47;F;Urban; 1 390 
29;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;44;F;Urban; 1 009 
30;1; 671 ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;46;M;Urban; 1 178 
31;2; 673 ; 672 ; -   ; -   ; -   ; -   ;Commercial;Sports Car;60;F;Urban; 1 082 
32;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;33;F;Rural; 1 270 
33;2; 716 ; 813 ; -   ; -   ; -   ; -   ;Private;SUV;32;F;Urban; 1 042 
34;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;44;M;Urban; 1 341 
35;2; 793 ; 774 ; -   ; -   ; -   ; -   ;Private;SUV;35;F;Urban; 1 163 
36;2; 670 ; 732 ; -   ; -   ; -   ; -   ;Private;SUV;40;F;Rural; 1 212 
37;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;54;M;Urban; 1 083 
38;2; 686 ; 871 ; -   ; -   ; -   ; -   ;Private;Sedan;49;M;Urban; 1 180 
39;3; 653 ; 691 ; 756 ; -   ; -   ; -   ;Commercial;Sedan;36;F;Rural; 1 323 
40;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;52;F;Urban; 1 364 
41;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;41;M;Urban; 1 079 
42;5; 712 ; 727 ; 702 ; 721 ; 562 ; -   ;Commercial;Van;39;M;Urban; 1 301 
43;1; 660 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;56;F;Rural; 1 449 
44;2; 715 ; 703 ; -   ; -   ; -   ; -   ;Private;Sedan;49;F;Urban; 1 496 
45;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;38;F;Rural; 1 065 
46;1; 723 ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;43;F;Urban; 1 168 
47;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;50;F;Urban; 1 361 
48;2; 712 ; 730 ; -   ; -   ; -   ; -   ;Private;SUV;63;F;Urban; 1 222 
49;2; 702 ; 689 ; -   ; -   ; -   ; -   ;Commercial;SUV;52;F;Rural; 1 463 
50;3; 707 ; 692 ; 748 ; -   ; -   ; -   ;Commercial;Pickup;35;M;Urban; 1 206 
51;2; 667 ; 673 ; -   ; -   ; -   ; -   ;Private;Sports Car;43;F;Urban; 1 288 
52;1; 677 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;41;F;Rural; 1 452 
53;1; 756 ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;40;M;Urban; 1 274 
54;2; 692 ; 677 ; -   ; -   ; -   ; -   ;Commercial;Sedan;31;M;Urban; 1 370 
55;2; 718 ; 679 ; -   ; -   ; -   ; -   ;Commercial;SUV;47;F;Urban; 1 194 
56;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;53;M;Urban; 1 352 
